,_id,name,category_code,number_of_employees,founded_year,total_money_raised,offices,city,place,result,latitude,longitude,Last_Digit,First_Digit
2,52cdef7c4bab8bd675297d8a,Wetpaint,web,47.0,2005.0,39800000,"{'description': '', 'address1': '710 - 2nd Avenue', 'address2': 'Suite 1100', 'zip_code': '98104', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.603122, 'longitude': -122.333253}",Seattle,"{'type': 'Point', 'coordinates': [-122.333253, 47.603122]}",success,47.603122,-122.333253,M,3
126,52cdef7c4bab8bd675297e0b,Newsvine,web,8.0,2005.0,1250000,"{'description': None, 'address1': '101 Elliott Ave. West', 'address2': 'Suite 120', 'zip_code': '98119', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.618599, 'longitude': -122.358484}",Seattle,"{'type': 'Point', 'coordinates': [-122.358484, 47.618599]}",success,47.618599,-122.358484,M,1
133,52cdef7c4bab8bd675297e11,iLike,games_video,28.0,2002.0,16500000,"{'description': None, 'address1': '1605 Boylston Ave, Suite 202', 'address2': '', 'zip_code': '98122', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.615313, 'longitude': -122.323408}",Seattle,"{'type': 'Point', 'coordinates': [-122.323408, 47.615313]}",success,47.615313,-122.323408,M,1
227,52cdef7c4bab8bd675297e6d,PayScale,software,130.0,1999.0,31100000,"{'description': '', 'address1': '542 First Ave South', 'address2': 'Suite 400', 'zip_code': '98104', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.5999337, 'longitude': -122.3276962}",Seattle,"{'type': 'Point', 'coordinates': [-122.3276962, 47.5999337]}",success,47.5999337,-122.3276962,M,3
238,52cdef7c4bab8bd675297e7b,BuddyTV,games_video,20.0,2005.0,10600000,"{'description': 'Seattle Headquarters', 'address1': '190 Queen Anne Ave Suite 280', 'address2': '', 'zip_code': '98109', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.61968, 'longitude': -122.356756}",Seattle,"{'type': 'Point', 'coordinates': [-122.356756, 47.61968]}",success,47.61968,-122.356756,M,1
378,52cdef7c4bab8bd675297f07,Shock Treatment Management,web,,2004.0,4000000,"{'description': None, 'address1': '1601 2nd Avenue, Suite #1080', 'address2': None, 'zip_code': '98101', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.610332, 'longitude': -122.339859}",Seattle,"{'type': 'Point', 'coordinates': [-122.339859, 47.610332]}",success,47.610332,-122.339859,M,4
477,52cdef7c4bab8bd675297f67,EyeJot,web,5.0,2007.0,1150000,"{'description': '', 'address1': '315 5th Ave South', 'address2': 'Suite 800', 'zip_code': '98104', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.5999337, 'longitude': -122.3276962}",Seattle,"{'type': 'Point', 'coordinates': [-122.3276962, 47.5999337]}",success,47.5999337,-122.3276962,M,1
550,52cdef7c4bab8bd675297fae,FlowPlay,games_video,30.0,2006.0,3970000,"{'description': '', 'address1': '114 Alaskan Way South', 'address2': 'Ste. 100', 'zip_code': '98104', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.6015315, 'longitude': -122.335943}",Seattle,"{'type': 'Point', 'coordinates': [-122.335943, 47.6015315]}",success,47.6015315,-122.335943,M,3
650,52cdef7c4bab8bd675298015,DocuSign,software,,2003.0,116000000,"{'description': '', 'address1': '1301 Second Ave', 'address2': 'Suite 2000', 'zip_code': '98101', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.603015, 'longitude': -122.335668}",Seattle,"{'type': 'Point', 'coordinates': [-122.335668, 47.603015]}",success,47.603015,-122.335668,M,1
700,52cdef7c4bab8bd675298047,Treemo Labs,mobile,,2005.0,2550000,"{'description': 'HQ', 'address1': '101 Yesler Way', 'address2': 'Suite 207', 'zip_code': '98104', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 47.620716, 'longitude': -122.347533}",Seattle,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",success,47.620716,-122.347533,M,2
